,sorting,rho,avg_waiting_time,var_waiting_time,sorting_method
0,,0.05,0.05219782963623513,0.1050672586237766,none
1,,0.1,0.11010926683784358,0.2246942330792955,none
2,,0.15000000000000002,0.17661012027719275,0.3709851563772752,none
3,,0.2,0.24639877103326202,0.5716786940292065,none
4,,0.25,0.3354085586811497,0.8159314638946005,none
5,,0.3,0.4495522944122857,1.1540384726330886,none
6,,0.35000000000000003,0.5484561204249829,1.3951962641345605,none
7,,0.4,0.6350462800712464,1.6578117493529938,none
8,,0.45,0.8399908651165332,2.6194355077091185,none
9,,0.5,1.0343865701364097,3.2220363249139323,none
10,,0.55,1.2349353349023908,3.910341690933505,none
11,,0.6000000000000001,1.3753936664904913,4.424247495898048,none
12,,0.6500000000000001,1.7192114706380845,6.164558660026188,none
13,,0.7000000000000001,2.3629067307857996,9.972500498693789,none
14,,0.7500000000000001,2.7505899686256505,11.715300904400383,none
15,,0.8,4.058443026163985,23.597077416850748,none
16,,0.8500000000000001,5.880461392779214,49.46956233980599,none
17,,0.9000000000000001,7.377754425275257,54.613813094334965,none
18,,0.9500000000000001,12.740947320323427,210.09248609788477,none
19,,0.05,0.04888445485669341,0.09542650352257367,shortest_first
20,,0.1,0.1041409680091689,0.20932759764600237,shortest_first
21,,0.15000000000000002,0.15858560719647358,0.31131423522195256,shortest_first
22,,0.2,0.221848886900545,0.47556218641749387,shortest_first
23,,0.25,0.28747028793629337,0.5982308184567887,shortest_first
24,,0.3,0.35571907482370646,0.7605789056978671,shortest_first
25,,0.35000000000000003,0.4286949711145633,0.9234612192119783,shortest_first
26,,0.4,0.5154583829170033,1.2236216398495374,shortest_first
27,,0.45,0.6079833691467137,1.5791028963673286,shortest_first
28,,0.5,0.720719046985138,2.0105962455583506,shortest_first
29,,0.55,0.829887817806289,2.6320123108556324,shortest_first
30,,0.6000000000000001,0.9888256111333895,3.972511250793212,shortest_first
31,,0.6500000000000001,1.1621316186581694,5.676621511818579,shortest_first
32,,0.7000000000000001,1.2494127416745373,6.321114437770146,shortest_first
33,,0.7500000000000001,1.5126615520393685,13.71126940433151,shortest_first
34,,0.8,1.888238139214666,24.93120525793737,shortest_first
35,,0.8500000000000001,2.181285434686263,40.29109556188968,shortest_first
36,,0.9000000000000001,3.4801808096895646,226.84250395272005,shortest_first
37,,0.9500000000000001,3.7045352638991007,242.4936951511814,shortest_first
